,conversion
13282869,0
1132760,0
7620429,0
6629378,0
13782165,0
13336216,0
965332,0
13951703,0
7540398,0
4668061,0
3019556,0
975200,0
4557776,0
5370151,0
3761165,0
8438358,0
10056261,0
11256571,0
12680214,0
10382839,0
6022856,0
2778524,0
1823802,0
12436004,0
2421399,0
13265870,0
10930822,0
2454766,0
6697384,0
10035592,0
13373072,0
2506800,0
1694434,0
10417304,0
4888284,0
2196463,0
2061214,0
9083119,0
4570398,0
2964824,0
8914564,0
13710662,0
9196578,0
3911561,0
8826978,0
1637759,0
13900939,0
10243256,0
8669994,0
7277904,0
2502316,0
7290325,0
6666169,0
2890721,0
990183,0
7953189,0
13408341,0
135158,0
7477018,0
12182613,0
8740877,0
13206275,0
4051821,0
4976137,0
4038552,0
13632482,0
5650984,0
7104079,0
8602969,0
5412597,0
137090,0
13483563,0
9501623,0
12298708,0
1414569,0
8729389,0
13058336,0
10138655,0
6699003,0
4710484,0
2002851,0
3666960,0
6467001,0
9224195,0
13828331,0
7252372,0
459432,0
2529112,0
6773542,0
1371467,0
3029301,0
12366932,0
10228179,0
12048217,0
1185574,0
12899603,0
5156987,0
11790154,0
880181,0
2496388,0
1670455,0
13370171,0
8690977,0
272631,0
6345156,0
2509048,0
6283607,0
12637696,0
1617482,0
2649534,0
8939780,0
11440659,0
11352304,0
4959699,0
5666680,0
5503284,0
7386339,0
8944394,0
4873788,0
11831646,0
8479946,0
6157437,0
2973968,0
3459795,0
6542449,0
10831166,0
13706798,0
1601136,0
3981834,0
5959908,0
9202897,0
4333328,0
7824463,0
43077,0
903131,0
3840344,0
2586594,0
10099907,0
1061536,0
2326095,0
5174666,0
7015874,0
13736206,0
9371538,0
7923585,0
3767752,0
4529571,0
7469336,0
9255654,0
156122,0
13975590,0
7889810,0
4707517,0
8339616,0
6589948,0
4947490,0
3420651,0
7061995,0
8412913,0
2866412,0
13108964,0
11094847,0
13945279,0
13583283,0
1927481,0
11562450,0
13361226,0
3269147,0
11905521,0
2955536,0
13672711,0
998370,0
1187078,0
8825257,0
4151553,0
5651792,0
13527306,0
6198083,0
11912283,0
12099010,0
9227917,0
12021487,0
2778853,0
1609116,0
12318802,0
9366448,0
6295629,0
5712962,0
4331266,0
1809883,0
5230104,0
6490841,0
12170814,0
1636088,0
5857476,0
4399635,0
7325434,0
12424387,0
12726200,0
5613075,0
390436,0
11166283,0
932509,0
9772539,0
7109868,0
2244626,0
13071099,0
7589591,0
694119,0
604769,0
10963401,0
1966302,0
6255672,0
4747383,0
13190311,0
12761475,0
3503327,0
530635,0
1946906,0
1182721,0
5614018,0
10178745,0
12658053,0
6056623,0
4773374,0
10698969,0
9784805,0
7949439,0
1498625,0
11185730,0
8932299,0
2176554,0
4030483,0
9973805,0
5204944,0
4231117,0
1985553,0
5769445,0
5574355,0
9618481,0
11788448,0
4425758,0
3627348,0
8078367,0
12780100,0
9170529,0
11095533,0
12706752,0
13733583,0
5169966,0
3488648,0
3148974,0
7904509,0
6810880,0
4146792,0
1985246,0
3864695,0
3284430,0
11273066,0
8130522,0
5479700,0
1731514,0
10541017,0
1933109,0
3129146,0
11597606,0
5640101,0
10972954,0
13875676,0
10086530,0
2797873,0
6508171,0
138391,0
9507526,0
12333201,0
8622354,0
2555536,0
9256353,0
2020230,0
5982386,0
13039274,0
8615753,0
10527247,0
7293501,0
1538215,0
12477514,0
2321298,0
4343400,0
6007154,0
6915157,0
4781538,0
9204029,0
481228,0
7824927,0
6453417,0
11453140,0
5115582,0
5181459,0
7930339,0
10034612,0
686610,0
11402027,0
9124967,0
10078987,0
9095336,0
1078003,0
4513633,0
7304855,0
6906380,0
5994827,0
5118844,0
4456347,0
5254302,0
8659737,0
11454976,0
265182,0
8327395,0
5577840,0
2407859,0
1056851,0
229872,0
6599199,0
2286788,0
5090077,0
9946152,0
3481964,0
9076440,0
9024438,0
1427843,0
738602,0
9853243,0
4635960,0
3357447,0
9845791,0
5614551,0
12614719,0
9561149,0
13620643,0
6969200,0
4466820,0
4083792,0
1999854,0
13209864,0
1353900,0
13729684,0
1718277,0
1346739,0
11485712,0
1465477,0
4387503,0
3377259,0
7770821,0
12577318,0
6220318,0
12724955,0
13556302,0
12861345,0
114926,0
11807838,0
12182504,0
8950796,0
7253636,0
3935475,0
12543186,0
10459535,0
12954187,0
11328340,0
9654170,0
570782,0
6049820,0
6765373,0
8211008,0
12230056,0
6632077,0
147063,0
4025683,0
13552093,0
8025215,0
12710265,0
4343163,0
757215,0
618441,0
10672691,0
6001751,0
2554998,0
13475593,0
10741448,0
12057629,0
4632464,0
6708041,0
4610033,0
1930303,0
5488443,0
5513563,0
13465678,0
11652422,0
2782668,0
11303263,0
170059,0
995218,0
10798554,0
1236857,0
2612545,0
12135813,0
6543222,0
13936259,0
3578316,0
11113389,0
11131149,0
5291291,0
11770150,0
6877117,0
13495846,0
7115639,0
13198834,0
8680286,0
944480,0
7834126,0
4821523,0
733589,0
474758,0
4965354,0
8797922,0
3150087,0
9422049,0
6698483,0
6042540,0
11450889,0
219955,0
13851305,0
2035529,0
8920491,0
1002447,0
13434148,0
7786444,0
11041920,0
5288519,0
8017785,0
9389095,0
684758,0
3530972,0
6826898,0
2367122,0
2637558,0
707574,0
2127366,0
3808573,0
7697217,0
8174724,0
1529064,0
9442263,0
4267786,0
11585062,0
10852908,0
7411784,0
8781127,0
866618,0
3732876,0
2112721,0
3578655,0
3872489,0
7043638,0
3456104,0
5079298,0
11351160,0
5445729,0
9197549,0
6451107,0
497098,0
2214395,0
10525439,0
13079648,0
12270933,0
6336948,0
8920513,0
1601068,0
6450635,0
3043595,0
2279319,0
2156734,0
2104654,0
12742000,0
2150397,0
2901267,0
12454129,0
4507395,0
12242054,0
4065301,0
10769342,0
3158303,0
9462853,0
765444,0
2096414,0
4935868,0
1479921,0
4853287,0
3708214,0
376092,0
5564653,0
12067642,0
6858401,0
7145660,0
10421993,0
5327470,0
4256748,0
3163700,0
4228128,0
8958456,0
7438781,0
2601260,0
8191213,0
6451340,0
13357948,0
4298069,0
12464703,0
4170887,0
12250614,0
1232175,0
10116516,0
11961361,0
2676654,0
318024,0
4823081,0
1163239,0
1659165,0
4244900,0
11330683,0
1852201,0
4175989,0
3546264,0
3569728,0
7462894,0
9060922,0
7258699,0
2138298,0
1484563,0
11203306,0
2684164,0
11879418,0
6973871,0
13226810,0
13659583,0
13259622,0
13862225,0
941202,0
10863181,0
10940737,0
6205071,0
6793524,0
6315750,0
6513855,0
7271960,0
13165700,0
1765017,0
5488665,0
12262963,0
187869,0
10292841,0
11423096,0
2078208,0
4828280,0
8288209,0
10689435,0
3268667,0
9491960,0
6426330,0
7456308,0
9620376,0
3458934,0
7638529,0
11626549,0
13525034,0
5606812,0
1923104,0
4436995,0
9580614,0
10284315,0
6709755,0
8620484,0
3809213,0
8940411,0
11558039,0
9720625,0
5403588,0
3473552,0
13798153,0
10797559,0
3868047,0
869370,0
5459569,0
13424934,0
5922226,0
3464500,0
6140858,0
7540757,0
2737763,0
7225393,0
10434359,0
8935706,0
9145323,0
4276557,0
11404994,0
13246352,0
12698677,0
8278612,0
12088674,0
10357207,0
7870443,0
7788832,0
5158519,0
13184271,0
13452703,0
6994759,0
5603225,0
2641917,0
113773,0
10051537,0
2748602,0
727504,0
5410125,0
6089310,0
9487441,0
13242048,0
13196462,0
11502579,0
9786463,0
6454360,0
11116401,0
3220375,0
5899534,0
2254572,0
5709245,0
7433072,0
3883287,0
2149321,0
4579419,0
8564779,0
12158283,0
7486986,0
6252126,0
5269240,0
12743280,0
4431915,0
3454122,0
12368377,0
2473242,0
3182472,0
4599187,0
1594358,0
2904364,0
8646003,0
8353566,0
772227,0
3219805,0
6674816,0
10189633,0
9356699,0
9427297,0
946066,0
8137346,0
10145684,0
5368658,0
917059,0
4364568,0
7509216,0
6900426,0
7344199,0
12357220,0
13774956,0
8815463,0
8844119,0
13950190,0
5777690,0
8283158,0
9363783,0
10016263,0
13217694,0
10920499,0
12267770,0
8668581,0
6035120,0
11416806,0
2457446,0
5979827,0
2183254,0
10951506,0
2539269,0
3080955,0
4398505,0
5329559,0
10207003,0
4323133,0
4320871,0
1140147,0
7713325,0
8471537,0
3271628,0
933262,0
3410306,0
10668957,0
4172850,0
11807172,0
1347577,0
9883455,0
6422106,0
13471995,0
8718356,0
1039824,0
5876785,0
13380069,0
9514817,0
2312515,0
13119807,0
11305706,0
5468288,0
6545848,0
9015604,0
9824996,0
9962882,0
11999838,0
13063987,0
10858122,0
348598,0
5027191,0
10931585,0
10692419,0
11377210,0
4857789,0
1167928,0
1146891,0
4331477,0
7028607,0
1801523,0
13478817,0
2166529,0
11532915,0
89169,0
439596,0
7003630,0
9798342,0
6784640,0
6925735,0
2523847,0
13852250,0
5719835,0
4086624,0
9230900,0
5452263,0
8868766,0
528216,0
6952853,0
12369272,0
2065315,0
7120464,0
796798,0
13578410,0
7624684,0
5051322,0
5372752,0
12084712,0
4812737,0
7266051,0
6738174,0
1011142,0
2894766,0
11631429,0
5139195,0
1135222,0
2646361,0
13510047,0
4007090,0
209407,0
456061,0
6160860,0
6484459,0
2244261,0
4505915,0
8494190,0
11415204,0
1161637,0
55008,0
4879340,0
1801970,0
2641199,0
331062,0
10721935,0
1942122,0
3057398,0
7696181,0
12484164,0
13796694,0
9987588,0
11177603,0
9559823,0
3803476,0
6137484,0
5289798,0
7703937,0
6152604,0
247631,0
10921417,0
2977457,0
1888905,0
2678611,0
9172292,0
12804848,0
3145111,0
13187705,0
194125,0
11774106,0
7824808,0
10240696,0
5115109,0
12719556,0
11770487,0
9982351,0
846672,0
11546289,0
10873478,0
9028241,0
5141819,0
9822942,0
5677867,0
8306804,0
5828454,0
2239542,0
840290,0
8560610,0
6722132,0
13823060,0
12050949,0
5500477,0
4019801,0
6460403,0
9334282,0
4158075,0
12665153,0
9720294,0
10641855,0
12995331,0
1266166,0
3994927,0
7356798,0
864510,0
6118354,0
11211920,0
9604204,0
996054,0
2087856,0
7697128,0
5298461,0
2540884,0
12448830,0
8682560,0
13262289,0
1252065,0
2550558,0
5646901,0
11029498,0
6440920,0
13632673,0
11781650,0
13115348,0
2986181,0
10670234,0
7449101,0
8923535,0
8626969,0
1152310,0
6581788,0
13849690,0
7455106,0
8152585,0
7786583,0
4214396,0
7321804,0
11186736,0
4914109,0
1529910,0
4124330,0
8803491,0
11784488,0
2925125,0
13928580,0
4852256,0
10330939,0
13867663,0
1938595,0
9186423,0
1007513,0
955722,0
10105308,0
10554670,0
6217403,0
6747857,0
2912575,0
749795,0
7304816,0
5593947,0
3540969,0
13764167,0
3014691,0
3634361,0
8773345,0
4425328,0
6087250,0
9240054,0
1861997,0
995191,0
10599377,0
6860167,0
6418320,0
3267626,0
2311311,0
2807596,0
8824893,0
7380056,0
12624725,0
3232481,0
11450103,0
8737767,0
4753675,0
6172116,0
157236,0
10950534,0
6364745,0
4295476,0
2205299,0
1105069,0
1270880,0
2030326,0
1557517,0
4487551,0
9251132,0
1237742,0
10086737,0
9944656,0
670761,0
11162874,0
1588388,0
2079139,0
12635955,0
13157764,0
7364514,0
251123,0
1254962,0
1661487,0
2089669,0
6807171,0
10237180,0
7583553,0
411689,0
4312784,0
5484510,0
2035666,0
5241209,0
13951872,0
6821616,0
7791798,0
13012742,0
6729751,0
4895228,0
4719298,0
10559916,0
16805,0
3446233,0
7384303,0
8536045,0
5841438,0
10024727,0
8001168,0
12542362,0
12886698,0
3029707,0
10467297,0
12350027,0
1713981,0
13588387,0
7889721,0
11409290,0
2354101,0
5928970,0
2146723,0
10444271,0
8344172,0
7852881,0
8601117,0
13325443,0
12030173,0
3733673,0
6429965,0
11131003,0
12933864,0
7323257,1
3876101,0
4444545,0
2924239,0
13245980,0
7136525,0
9666983,0
941804,0
4902745,0
4542164,0
3832268,0
4960308,0
5986723,0
1918636,0
7484301,0
3761908,0
11711059,0
3446657,0
6723895,0
12630254,0
12038086,0
9125691,0
1812878,0
6549072,0
6021914,0
13775615,0
9369624,0
3242398,0
12427279,0
10287876,0
346379,0
7770285,0
3127726,0
3387401,0
11692599,0
11352035,0
13905986,0
12004681,0
307952,0
5462575,0
9507680,0
4320663,0
3960500,0
12096852,0
5666547,0
3214986,0
6176978,0
1157926,0
6775019,0
12663287,0
5178692,0
4798164,0
567178,0
10586540,0
13709295,0
3732685,0
4774775,0
4994191,0
13296978,0
5456171,0
6837928,0
10901633,0
3156914,0
2444249,0
10858907,0
9134213,0
8844758,0
11145683,0
4094926,0
537133,0
1728531,0
7758284,0
10287038,0
5011715,0
7388797,0
13339140,0
10892852,0
12178918,0
262274,0
2110474,0
8164173,0
10101514,0
5341686,0
10237008,0
4895166,0
11493146,0
7761457,0
6304003,1
3435518,0
6711303,0
8772481,0
2275384,0
12306769,0
3577594,0
11213815,0
9818971,0
7419675,0
4742401,0
742017,0
13082421,0
5048261,0
9135338,0
13911392,0
7443505,0
3174618,0
2588316,0
4217504,0
3816315,0
5127473,0
12984678,0
7710949,0
8009601,0
9407215,0
8907503,0
1512711,0
9128300,0
12834706,0
3144450,0
1215522,0
6232230,0
12093692,0
7819644,0
11079893,0
7599044,0
10006363,0
2937974,0
6281755,0
6503375,0
457351,0
3033960,0
137528,0
8637670,0
7915850,0
8131615,0
4742885,0
12434864,0
9294503,0
11871697,0
8544622,0
10294723,0
3950919,0
3434801,0
7007004,0
2633549,0
1916172,0
2805311,0
9105695,0
13752389,0
7051625,0
12921944,0
5290894,0
5621597,0
7298759,0
4145380,0
9654211,0
1456826,0
4120080,0
590362,0
5880043,0
4343222,0
11404857,0
240346,0
13654841,0
4717243,0
5107919,0
12168065,0
6685304,0
11946839,0
785639,0
5527316,0
13893623,0
2611814,0
1930550,0
12071832,0
9153185,0
10192557,0
3011113,0
8067315,0
8080585,0
12281061,0
2432851,0
4985968,0
12260114,0
9832010,0
9845436,0
10122306,0
3865479,0
2621054,0
5186927,0
2774179,0
2424077,0
7478077,0
4316935,0
13512584,0
12547775,0
9717383,0
299916,0
10656539,0
8745042,0
10496688,0
10014928,0
6854219,0
9733637,0
116413,0
10829062,0
7014051,0
12805214,0
447159,0
6319590,0
7419811,0
4645271,0
2852477,0
11210033,0
13938425,0
10818740,0
1278308,0
12808561,0
11053211,0
10239214,0
3997494,0
3425069,0
10694000,0
12892704,0
6861279,0
1005142,0
1053848,0
2957466,0
8349184,0
10802437,0
6440401,0
8643706,0
13692216,0
6046963,0
1610396,0
13201270,0
13694931,0
7292396,0
2208502,0
5646293,0
4333598,0
1548401,0
5017895,0
8377663,0
6539708,0
10250780,0
1111739,0
13785614,0
10916982,0
2133675,0
8642636,0
10937506,0
8526445,0
4800310,0
4132286,0
11650364,0
10711700,0
7445439,0
8028845,0
4892307,0
12017961,0
7268116,0
10457373,0
2472902,0
1544472,0
7753978,0
5474980,0
8163803,0
9782206,0
12949589,0
8824817,0
10614044,0
8698515,0
865206,0
2469839,0
2365765,0
5911114,0
4046109,0
6951041,0
403160,0
4231317,0
1850802,0
6613531,0
12576418,0
11779157,0
9241196,0
4336800,0
8184141,0
1450972,0
12117350,0
9775948,0
7990320,0
7750907,0
9421244,0
3765364,0
9795580,0
3545727,0
972815,0
6869096,0
5662153,0
2591982,0
2804601,0
13226463,0
1698668,0
11760996,0
11425369,0
2781198,0
5365808,0
11293159,0
1423754,0
3569005,0
12973159,0
982198,0
3643383,0
3995733,0
6689452,0
13640223,0
2389604,0
3519644,0
12596624,0
12397292,0
2913174,0
1444531,0
10580540,0
7984890,0
12847618,0
13734665,0
7136243,0
375674,0
3860029,0
3460200,0
12411869,0
12246156,1
11168318,0
2434899,0
8332469,0
2677100,0
1362829,0
13898718,0
13419235,0
1054910,0
559266,0
1851483,0
10512735,0
13423463,0
59229,0
11274625,0
4721287,0
9733775,0
13463372,0
11234629,0
345075,0
10412666,0
9963015,0
4692820,0
10160174,0
10930853,0
10068669,0
6999065,0
7794889,0
707995,0
10841035,0
1305116,0
11747750,0
13825856,0
1940512,0
6153896,0
10017168,0
12736663,0
11794357,0
2502804,0
2770052,0
10460862,0
5334980,0
7845290,0
10009470,0
1018774,0
877452,0
7603213,0
13207006,0
11884346,0
4280225,0
4373837,0
7411192,0
1042383,0
7951013,0
4160805,0
9131896,0
6307903,0
12613254,0
13544049,0
6058327,0
3998006,0
13518580,0
6182914,0
1014653,0
4912391,0
2526135,0
9881924,0
6123908,0
7714191,0
11580814,0
9260873,0
1579738,0
9247620,0
3888262,0
497132,0
10131633,0
13241598,0
12511590,0
10368859,0
4756845,0
11683560,0
12337795,0
10418163,0
9440031,0
12092438,0
3648149,0
10432212,0
3755549,0
11299528,0
13978300,0
2466135,0
9661780,0
331661,0
10828192,0
10725085,0
10300159,0
4336625,0
12534063,0
7900310,0
415916,0
9500486,0
3465501,0
4457585,0
13073045,0
13225720,0
13974731,0
1816755,0
6830441,0
11909236,0
12759184,0
4650668,0
9308019,0
5179939,0
6537373,0
11892322,0
7733882,0
12659182,0
2049345,0
3269800,0
8398494,0
9280216,0
13749101,0
648410,0
8179840,0
13326444,0
7684300,0
8290252,0
3176094,0
11579683,0
13354411,0
3970851,0
5638593,0
11176459,0
5974321,0
8311974,0
2823568,0
9993567,0
8413976,0
11144408,0
6786336,0
2566689,0
7703496,0
10291380,0
9697703,0
8622656,0
3216870,0
5354775,0
7283909,0
13858551,0
2022672,0
21084,0
8725004,0
5148352,0
10747069,0
6882830,0
7681443,0
8331401,0
8784791,0
424429,0
12623977,0
9792601,0
4516845,0
6788171,0
13023106,0
5782335,0
3351401,0
13723401,0
6009937,0
5016135,0
3756091,0
6692346,0
8648495,0
9358719,0
2261169,0
9736287,0
2436689,0
4609561,0
5333079,0
11506662,0
1084154,0
9059809,0
13687748,0
684117,0
4780281,0
759202,0
5047151,0
2624898,0
11982549,0
11686471,0
7304073,0
25673,0
9413563,0
1786231,0
5018987,0
13751458,0
8522666,0
7356147,0
10496909,0
7435112,0
9211545,0
13442607,0
12262954,0
7674737,0
6153861,0
9125245,0
7940614,0
952872,0
11862367,0
8949658,0
595040,0
5063707,0
12069753,0
7796298,0
13014513,0
2987767,0
10014825,0
8374878,0
6130180,0
5207262,0
5327682,0
3906163,0
9309535,0
4668863,0
5957786,0
329870,0
5448107,0
1793761,0
7168921,0
3008681,0
1687995,0
4826828,0
13433703,0
12965817,0
8227366,0
4157396,0
8538041,0
13203904,0
9872240,0
10691702,0
178131,0
6501843,0
9593607,0
4581599,0
4653237,0
758611,0
12589955,0
10877865,0
2617129,0
5091985,0
513602,0
4633974,0
4631198,0
2960663,0
2001154,0
10815457,0
6341328,0
11873141,0
10382109,0
5019951,0
2137795,0
11512570,0
2601719,1
776611,0
4338727,0
5127166,0
4892422,0
3105653,0
6995944,0
1499900,1
5656123,0
12772845,0
298641,0
6723175,0
7785625,0
10473366,0
13241615,0
11666927,0
7866698,0
5352024,0
5899402,0
9574563,0
5102182,0
8518330,0
8998835,0
12161583,0
13547187,0
5579280,0
11225008,0
2682303,0
7394719,0
11156060,0
10254863,0
9388617,0
13655252,0
6666550,0
10011648,0
6050444,0
13508259,0
7066462,0
13401959,0
1064887,0
3996396,0
3068960,0
4921192,0
8461122,0
12029118,0
11531292,0
9308180,0
4043525,0
6634647,0
2091543,0
2724247,0
9246737,0
9775280,0
6311722,0
2406797,0
5385820,0
12578706,0
4125281,0
4375320,0
10395970,0
7765207,0
864238,0
2405537,0
10406772,0
3736651,0
3823,0
13725924,0
9359322,0
1609715,0
12943670,0
9167950,0
9396785,0
6085211,0
11417883,0
2070023,0
9888985,0
8827215,0
6497983,0
1404695,0
11602706,0
2490083,0
10774857,0
4326388,0
5610997,0
5255274,0
11566138,0
9891929,0
6787977,0
13058279,0
13458265,0
5610983,0
11555782,0
4148926,0
11173896,0
134716,0
8300236,0
5610517,0
8561087,0
1359533,0
2547376,0
213722,0
6106237,0
6313799,0
6050968,0
11506059,0
10495815,0
7055466,0
59886,0
4060162,1
8190641,0
2018535,0
11961635,0
8223850,0
13684057,0
13479768,0
9160828,0
412940,0
760617,0
9932577,0
1353731,0
2424493,0
170564,0
1234377,0
12214543,0
10243102,0
3376349,0
13443473,0
9940777,0
10462218,0
9844578,0
12709803,0
4512202,0
4520985,0
572438,0
3249187,0
3913945,0
3854886,0
11541998,0
